Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Jul 26, 2019","1,245.22","1,228.00","1,268.39","1,228.00",6.06M
"Jul 25, 2019","1,135.94","1,138.95","1,143.59","1,123.71",2.74M
"Jul 24, 2019","1,139.73","1,132.62","1,145.45","1,128.51",1.36M
"Jul 23, 2019","1,148.05","1,143.45","1,148.86","1,132.85",1.03M
"Jul 22, 2019","1,139.21","1,135.47","1,140.02","1,125.21",1.45M
"Jul 19, 2019","1,131.55","1,149.32","1,151.58","1,131.25",1.16M
"Jul 18, 2019","1,147.24","1,142.00","1,148.17","1,132.86",1.27M
"Jul 17, 2019","1,146.74","1,150.92","1,158.44","1,146.62",976.89K
"Jul 16, 2019","1,153.46","1,146.73","1,158.58","1,146.73",1.27M
"Jul 15, 2019","1,150.51","1,145.34","1,150.68","1,140.00",1.06M
"Jul 12, 2019","1,145.34","1,142.93","1,147.50","1,138.56",1.09M
"Jul 11, 2019","1,144.08","1,146.16","1,153.24","1,139.53",1.30M
"Jul 10, 2019","1,140.91","1,132.32","1,142.34","1,130.66",1.54M
"Jul 09, 2019","1,124.29","1,110.32","1,127.86","1,107.15",1.47M
"Jul 08, 2019","1,116.79","1,125.87","1,127.21","1,111.76",1.49M
"Jul 05, 2019","1,132.66","1,119.37","1,134.65","1,117.50",1.49M
"Jul 03, 2019","1,122.99","1,118.50","1,127.99","1,114.85",1.01M
"Jul 02, 2019","1,112.60","1,104.83","1,112.89","1,099.67",1.03M
"Jul 01, 2019","1,100.00","1,101.04","1,108.59","1,095.33",1.46M
"Jun 28, 2019","1,082.80","1,077.23","1,082.80","1,073.80",1.68M
"Jun 27, 2019","1,076.63","1,086.75","1,088.46","1,075.85",1.20M
"Jun 26, 2019","1,080.32","1,091.00","1,095.12","1,073.69",1.73M
"Jun 25, 2019","1,087.58","1,115.08","1,115.70","1,084.60",1.58M
"Jun 24, 2019","1,116.70","1,120.00","1,123.57","1,113.31",1.21M
"Jun 21, 2019","1,125.37","1,109.86","1,126.57","1,109.72",2.54M
"Jun 20, 2019","1,113.20","1,121.70","1,122.72","1,107.00",1.20M
"Jun 19, 2019","1,104.51","1,107.24","1,109.43","1,096.03",1.34M
